1	1060.98
2	1054.55
3	1052.62
4	1056.35
5	1063.52
6	1069.9
7	1071.79
8	1068.11
	*
1	1070.52
2	1050.82
3	1048.16
4	1064.2
5	1089.06
6	1108.08
7	1110.59
8	1095.23
	*
1	1073.43
2	1067.71
3	1059.47
4	1053.54
5	1053.45
6	1059.24
7	1067.48
8	1073.34
	*
1	1083.49
2	1084.04
3	1081.95
4	1078.44
5	1075.56
6	1075
7	1077.11
8	1080.62
	*
1	1069.43
2	1063.99
3	1052.85
4	1042.48
5	1039.03
6	1044.59
7	1055.82
8	1066.07
	*
1	1080.94
2	1064.8
3	1055.85
4	1059.54
5	1073.61
6	1089.63
7	1098.3
8	1094.74
	*
1	1064.63
2	1070.87
3	1076.67
4	1078.68
5	1075.73
6	1069.53
7	1063.68
8	1061.65
	*
1	1081.64
2	1070.65
3	1059.89
4	1055.76
5	1060.74
6	1071.84
7	1082.48
8	1086.51
	*
1	1055.97
2	1056.79
3	1056.33
4	1054.85
5	1053.21
6	1052.39
7	1052.86
8	1054.34
	*
1	1059.15
2	1065.12
3	1070.8
4	1072.88
5	1070.16
6	1064.21
7	1058.5
8	1056.39
	*
1	1071.92
2	1072.05
3	1074.3
4	1077.36
5	1079.42
6	1079.3
7	1077.06
8	1074
	*
1	1061.8
2	1070.07
3	1075.83
4	1075.75
5	1069.89
6	1061.62
7	1055.78
8	1055.86
	*
1	1081.59
2	1083.86
3	1079.73
4	1071.57
5	1064.14
6	1061.83
7	1066.03
8	1074.22
	*
1	1067.42
2	1076.83
3	1089.19
4	1097.27
5	1096.45
6	1087.21
7	1074.83
8	1066.58
	*
1	1069.7
2	1062.6
3	1058.47
4	1059.76
5	1065.7
6	1072.77
7	1076.84
8	1075.58
	*
1	1064.41
2	1072.24
3	1063.74
4	1043.6
5	1023.36
6	1015.14
7	1024.05
8	1044.57
	*
1	1098.66
2	1088.08
3	1067.26
4	1048.2
5	1042.38
6	1053.42
7	1074.51
8	1093.12
	*
1	1047.49
2	1048.4
3	1060.71
4	1076.99
5	1087.73
6	1086.84
7	1074.83
8	1058.52
	*
1	1067.64
2	1069.14
3	1077.71
4	1088.24
5	1094.59
6	1093.12
7	1084.67
8	1074.11
	*
1	1050.33
2	1053.17
3	1063.65
4	1075.53
5	1081.9
6	1079.14
7	1068.81
8	1056.86
	*
1	1056.23
2	1089.87
3	1107.91
4	1100.61
5	1071.87
6	1037.64
7	1018.36
8	1026.24
	*
1	1095.82
2	1107.23
3	1101.48
4	1081.75
5	1059.22
6	1047.29
7	1053.33
8	1073.58
	*
1	1068.34
2	1057.9
3	1054.3
4	1059.72
5	1070.89
6	1081.21
7	1084.71
8	1079.42
	*
1	1071.86
2	1065.11
3	1061.42
4	1063
5	1068.89
6	1075.62
7	1079.25
8	1077.7
	*
1	1081.03
2	1062.06
3	1053.49
4	1060.57
5	1078.96
6	1097.63
7	1105.87
8	1099.07
	*
1	1047.89
2	1031.62
3	1023.04
4	1027.39
5	1042.01
6	1058.12
7	1066.41
8	1062.22
	*
1	1072.83
2	1093.87
3	1110.52
4	1113.36
5	1100.82
6	1079.91
7	1062.78
8	1059.8
	*
1	1067.73
2	1059.98
3	1060.69
4	1069.43
5	1080.98
6	1088.58
7	1087.89
8	1079.3
	*
1	1053.84
2	1058.82
3	1062.94
4	1063.81
5	1060.92
6	1055.95
7	1051.81
8	1050.93
	*
1	1066.92
2	1099.72
3	1119.83
4	1116.27
