1	544.725
2	543.457
3	552.132
4	565.396
5	575.438
6	576.636
7	568.334
8	555.141
	*
1	545.006
2	543.394
3	551.779
4	564.979
5	575.209
6	576.732
7	568.715
8	555.604
	*
1	544.686
2	543.326
3	551.99
4	565.326
5	575.479
6	576.764
7	568.478
8	555.217
	*
1	544.686
2	543.326
3	551.99
4	565.326
5	575.479
6	576.764
7	568.478
8	555.217
	*
1	544.725
2	543.457
3	552.132
4	565.396
5	575.438
6	576.636
7	568.334
8	555.141
	*
1	544.665
2	543.078
3	551.679
4	565.15
5	575.546
6	577.043
7	568.825
8	555.444
	*
1	544.686
2	543.326
3	551.99
4	565.326
5	575.479
6	576.764
7	568.478
8	555.217
	*
1	544.654
2	543.424
3	552.155
4	565.457
5	575.501
6	576.662
7	568.308
8	555.074
	*
1	544.654
2	543.424
3	552.155
4	565.457
5	575.501
6	576.662
7	568.308
8	555.074
	*
1	544.654
2	543.424
3	552.155
4	565.457
5	575.501
6	576.662
7	568.308
8	555.074
	*
1	544.725
2	543.457
3	552.132
4	565.396
5	575.438
6	576.636
7	568.334
8	555.141
	*
1	544.744
2	543.267
3	551.869
4	565.232
5	575.482
6	576.876
7	568.653
8	555.372
	*
1	544.686
2	543.326
3	551.99
4	565.326
5	575.479
6	576.764
7	568.478
8	555.217
	*
1	544.367
2	543.032
3	551.899
4	565.486
5	575.792
6	577.051
7	568.576
8	555.065
	*
1	544.119
2	542.761
3	551.796
4	565.633
5	576.122
6	577.402
7	568.773
8	555.015
	*
1	544.24
2	543.141
3	552.18
4	565.773
5	575.925
6	576.962
7	568.317
8	554.787
	*
1	544.683
2	543.481
3	552.212
4	565.488
5	575.494
6	576.63
7	568.274
8	555.065
	*
1	544.24
2	543.141
3	552.18
4	565.773
5	575.925
6	576.962
7	568.317
8	554.787
	*
1	544.24
2	543.141
3	552.18
4	565.773
5	575.925
6	576.962
7	568.317
8	554.787
	*
1	544.477
2	543.352
3	552.239
4	565.652
5	575.7
6	576.762
7	568.258
8	554.909
	*
1	544.725
2	543.457
3	552.132
4	565.396
5	575.438
6	576.636
7	568.334
8	555.141
	*
1	544.731
2	543.416
3	552.078
4	565.368
5	575.459
6	576.701
7	568.414
8	555.197
	*
1	544.686
2	543.326
3	551.99
4	565.326
5	575.479
6	576.764
7	568.478
8	555.217
	*
1	544.731
2	543.416
3	552.078
4	565.368
5	575.459
6	576.701
7	568.414
8	555.197
	*
1	544.371
2	543.17
3	552.091
4	565.622
5	575.8
6	576.932
7	568.401
8	554.938
	*
1	544.654
2	543.424
3	552.155
4	565.457
5	575.501
6	576.662
7	568.308
8	555.074
	*
1	544.487
2	543.422
3	552.325
4	565.701
5	575.683
6	576.688
7	568.167
8	554.85
	*
1	544.24
2	543.141
3	552.18
4	565.773
5	575.925
6	576.962
7	568.317
8	554.787
	*
1	544.118
2	543.001
3	552.114
4	565.825
5	576.068
6	577.121
7	568.409
8	554.762
	*
1	544.436
2	543.46
3	552.426
4	565.803
5	575.727
6	576.648
7	568.064
8	554.742
	*
1	544.695
2	543.594
3	552.356
4	565.575
5	575.476
6	576.516
7	568.126
8	554.968
	*
1	544.578
2	543.495
3	552.335
4	565.642
5	575.589
6	576.612
7	568.15
8	554.904
	*
1	544.578
2	543.495
3	552.335
4	565.642
5	575.589
6	576.612
7	568.15
8	554.904
	*
1	544.41
2	543.502
3	552.512
4	565.883
5	575.757
6	576.614
7	567.986
8	554.666
	*
1	544.578
2	543.495
3	552.335
4	565.642
5	575.589
6	576.612
7	568.15
8	554.904
	*
1	544.754
2	543.512
3	552.181
4	565.41
5	575.413
6	576.587
7	568.29
8	555.129
	*
1	544.909
2	543.596
3	552.139
4	565.267
5	575.247
6	576.488
7	568.311
8	555.255
	*
1	544.686
2	543.326
3	551.99
4	565.326
5	575.479
6	576.764
7	568.478
8	555.217
	*
1	544.909
2	543.596
3	552.139
4	565.267
5	575.247
6	576.488
7	568.311
8	555.255
	*
1	544.654
2	543.424
3	552.155
4	565.457
5	575.501
6	576.662
7	568.308
8	555.074
	*
1	544.654
2	543.424
3	552.155
4	565.457
5	575.501
6	576.662
7	568.308
8	555.074
	*
1	544.653
2	543.588
3	552.391
4	565.63
5	575.52
6	576.526
7	568.097
8	554.917
	*
1	544.485
2	543.319
3	552.183
4	565.601
5	575.679
6	576.779
7	568.3
8	554.946
	*
1	544.24
2	543.141
3	552.18
4	565.773
5	575.925
6	576.962
7	568.317
8	554.787
	*
1	544.436
2	543.46
3	552.426
4	565.803
5	575.727
6	576.648
7	568.064
8	554.742
	*
1	544.752
2	543.72
3	552.475
4	565.619
5	575.422
6	576.397
7	568.011
8	554.924
	*
1	544.522
2	543.542
3	552.455
4	565.763
5	575.643
6	576.568
7	568.034
8	554.78
	*
1	544.358
2	543.555
3	552.638
4	566.005
5	575.805
6	576.563
7	567.863
8	554.541
	*
1	544.216
2	543.465
3	552.659
4	566.129
5	575.966
6	576.675
7	567.869
8	554.442
	*
1	544.358
2	543.555
3	552.638
4	566.005
5	575.805
6	576.563
7	567.863
8	554.541
	*
1	544.7
2	543.661
3	552.444
4	565.632
5	575.469
6	576.45
7	568.038
8	554.908
	*
1	544.7
2	543.661
3	552.444
4	565.632
5	575.469
6	576.45
7	568.038
8	554.908
	*
1	544.7
2	543.661
3	552.444
4	565.632
5	575.469
6	576.45
7	568.038
8	554.908
	*
1	544.7
2	543.661
3	552.444
4	565.632
5	575.469
6	576.45
7	568.038
8	554.908
	*
1	544.453
2	543.727
3	552.784
4	566.043
5	575.72
6	576.406
7	567.726
8	554.506
	*
1	544.7
2	543.661
3	552.444
4	565.632
5	575.469
6	576.45
7	568.038
8	554.908
	*
1	544.813
2	543.585
3	552.226
4	565.404
5	575.361
6	576.521
7	568.249
8	555.14
	*
1	545.276
2	543.777
3	552.03
4	564.942
5	574.901
6	576.32
7	568.42
8	555.589
	*
1	544.686
2	543.326
3	551.99
4	565.326
5	575.479
6	576.764
7	568.478
8	555.217
	*
1	544.725
2	543.457
3	552.132
4	565.396
5	575.438
6	576.636
7	568.334
8	555.141
	*
1	544.654
2	543.424
3	552.155
4	565.457
5	575.501
6	576.662
7	568.308
8	555.074
	*
1	544.654
2	543.424
3	552.155
4	565.457
5	575.501
6	576.662
7	568.308
8	555.074
	*
1	544.831
2	543.636
3	552.274
4	565.417
5	575.329
6	576.458
7	568.187
8	555.11
	*
1	544.831
2	543.636
3	552.274
4	565.417
5	575.329
6	576.458
7	568.187
8	555.11
	*
1	544.667
2	543.548
3	552.315
4	565.56
5	575.491
6	576.548
7	568.155
8	554.972
	*
1	544.608
2	543.492
3	552.302
4	565.6
5	575.565
6	576.619
7	568.186
8	554.95
	*
1	544.993
2	543.771
3	552.304
4	565.328
5	575.177
6	576.332
7	568.16
8	555.203
	*
1	544.825
2	543.679
3	552.345
4	565.478
5	575.35
6	576.432
7	568.134
8	555.064
	*
1	544.667
2	543.548
3	552.315
4	565.56
5	575.491
6	576.548
7	568.155
8	554.972
	*
1	544.453
2	543.727
3	552.784
4	566.043
5	575.72
6	576.406
7	567.726
8	554.506
	*
1	544.694
2	543.68
3	552.478
4	565.662
5	575.482
6	576.44
7	568.013
8	554.884
	*
1	545.113
2	543.943
3	552.423
4	565.327
5	575.061
6	576.168
7	568.043
8	555.202
	*
1	544.974
2	543.811
3	552.381
4	565.4
5	575.207
6	576.307
7	568.098
8	555.142
	*
1	544.712
2	543.58
3	552.315
4	565.527
5	575.444
6	576.514
7	568.151
8	555.001
	*
1	544.723
2	543.777
